2022-01-05 13:16:08 upgrade linux-libc-dev:amd64 5.4.0-91.102 5.4.0-92.103
2022-01-05 13:16:08 status half-configured linux-libc-dev:amd64 5.4.0-91.102
2022-01-05 13:16:08 status unpacked linux-libc-dev:amd64 5.4.0-91.102
2022-01-05 13:16:08 status half-installed linux-libc-dev:amd64 5.4.0-91.102
2022-01-05 13:16:09 status unpacked linux-libc-dev:amd64 5.4.0-92.103
2022-01-05 13:16:09 startup packages configure
2022-01-05 13:16:09 configure linux-libc-dev:amd64 5.4.0-92.103 <none>
2022-01-05 13:16:09 status unpacked linux-libc-dev:amd64 5.4.0-92.103
2022-01-05 13:16:09 status half-configured linux-libc-dev:amd64 5.4.0-92.103
2022-01-05 13:16:09 status installed linux-libc-dev:amd64 5.4.0-92.103
2022-01-10 12:10:29 startup packages remove
2022-01-10 12:10:29 status installed linux-modules-extra-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2022-01-10 12:10:29 remove linux-modules-extra-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1 <none>
2022-01-10 12:10:29 status half-configured linux-modules-extra-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2022-01-10 12:10:29 status half-installed linux-modules-extra-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2022-01-10 12:10:30 status config-files linux-modules-extra-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2022-01-10 12:10:30 status installed linux-modules-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2022-01-10 12:10:30 status installed linux-image-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2022-01-10 12:10:30 remove linux-image-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1 <none>
2022-01-10 12:10:30 status half-configured linux-image-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2022-01-10 12:10:30 status half-installed linux-image-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2022-01-10 12:10:33 status config-files linux-image-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2022-01-10 12:10:33 remove linux-modules-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1 <none>
2022-01-10 12:10:33 status half-configured linux-modules-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2022-01-10 12:10:33 status half-installed linux-modules-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2022-01-10 12:10:33 status config-files linux-modules-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2022-01-10 12:10:33 startup packages configure
2022-01-10 12:10:36 startup packages remove
2022-01-10 12:10:36 status installed linux-headers-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2022-01-10 12:10:37 remove linux-headers-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1 <none>
2022-01-10 12:10:37 status half-configured linux-headers-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2022-01-10 12:10:37 status half-installed linux-headers-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2022-01-10 12:10:38 status config-files linux-headers-5.11.0-41-generic:amd64 5.11.0-41.45~20.04.1
2022-01-10 12:10:38 status not-installed linux-headers-5.11.0-41-generic:amd64 <none>
2022-01-10 12:10:38 startup packages configure
2022-01-10 12:10:41 startup packages remove
2022-01-10 12:10:41 status installed linux-hwe-5.11-headers-5.11.0-41:all 5.11.0-41.45~20.04.1
2022-01-10 12:10:41 remove linux-hwe-5.11-headers-5.11.0-41:all 5.11.0-41.45~20.04.1 <none>
